Артикул;Наименование;Характеристика;Цвет;Категория;Подкатегория;пол;СС руб/шт
Uhvw0008milk;Unelle халат вафельный женский Adele молочный;42-44;молочный;Халат вафельный;Дизайнерский вафельный;женский;907
UhmW0008mol/gol;Unelle халат махровый женский в узкую полоску молочный/голубой Лена;42-44;молочный голубой;Халат махровый;Дизайнерский махровый;женский;1227
UhmW0012mol/gol;Unelle халат махровый женский с капюшоном в узкую полоску молочно-голубой Лена;42-44;молочный голубой;Халат махровый;Дизайнерский махровый;женский;1542
Uhvw0013mol-graf;Unelle халат жаккардовый женский Terry молочно-графитовый;42-44;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;1097
Uhvw0014mol-graf;Unelle халат жаккардовый женский короткий Terry молочно-графитовый;42-44;молочный графитовый;Халат вафельный;Дизайнерский вафельный;женский;765
UhmW0008mol/roz;Unelle халат махровый женский в узкую полоску молочный/розовый Лена;42-44;молочный розовый;Халат махровый;Дизайнерский махровый;женский;1329
UhvW0003mint;Unelle халат вафельный женский с капюшоном мятный;42-44;мятный;Халат вафельный;Классический вафельный;женский;911
Uhvw0004mint;Unelle халат вафельный женский мятный;42-44;Мятный;Халат вафельный;Классический вафельный;женский;637
Uhmw006pbir;Unelle халат махровый женский пыльная бирюза с белым кантом Леша;42-44;пыльно-бирюзовый;Халат махровый;Дизайнерский махровый;женский;1757
UhmW0001pbor;Unelle халат махровый женский с капюшоном пыльно-бордовый Лена;42-44;пыльно-бордовый;Халат махровый;Классический махровый;женский;1542
UhmW0015proz;Unelle халат махровый женский короткий Chloe пыльно-розовый;42-44;пыльно-розовый;Халат махровый;Классический махровый;женский;730
Uhmw006proz;Unelle халат махровый женский пыльная роза с черным кантом Леша;42-44;пыльно-розовый;Халат махровый;Дизайнерский махровый;женский;1771
Uhvw0004ser-kor;Unelle халат вафельный женский серо-коричневый;42-44;Серо-коричневый;Халат вафельный;Классический вафельный;женский;630
UhmW0001ser;Unelle халат махровый женский с капюшоном серый Лена;42-44;серый;Халат махровый;Классический махровый;женский;1552
Uhmw0003ser;Unelle халат махровый женский серый Лена;42-44;серый;Халат махровый;Классический махровый;женский;1066
UhmW0011ser;Unelle халат махровый женский Nina Richi Pale Gray Лена;42-44;серый;Халат махровый;Дизайнерский махровый;женский;1089
Uhvw0007ser;Unelle халат вафельный женский серый с черным кантом;42-44;серый;Халат вафельный;Дизайнерский вафельный;женский;677
Uhvw0008ser;Unelle халат вафельный женский Adele серый;42-44;серый;Халат вафельный;Дизайнерский вафельный;женский;923
UhmW0011sir;Unelle халат махровый женский Nina Richi Cowberry Лена;42-44;сиреневый;Халат махровый;Дизайнерский махровый;женский;1134
Uhvw0008sir;Unelle халат вафельный женский Adele сиреневый;42-44;Сиреневый;Халат вафельный;Дизайнерский вафельный;женский;921
Uhmw0003maslo;Unelle халат махровый женский сливочное масло;42-44;сливочное масло;Халат махровый;Классический махровый;женский;1161
UhmW0015maslo;Unelle халат махровый женский короткий Chloe сливочное масло;42-44;сливочное масло;Халат махровый;Классический махровый;женский;730
